Seed,Fold,Baseline,Topk,Explainer,Lambda_1,Lambda_2,Accuracy,Comprehensiveness,Cross Entropy,Log Odds,Sufficiency
42,2,Average,0.3,occlusion,1.0,1.0,0.66,0.2057,0.6047,-0.3488,0.0003414
42,2,Average,0.3,retain,1.0,1.0,0.795,0.1211,0.4564,-0.2005,0.09609
42,2,Average,0.4,deep_lift,1.0,1.0,0.65,0.2091,0.6143,-0.3584,-0.009958
42,2,Average,0.4,dyna_mask,1.0,1.0,0.395,0.3622,1.211,-0.9552,-0.05526
42,2,Average,0.4,extremal_mask,1.0,1.0,0.39,0.3208,0.9251,-0.6692,-0.1042
42,2,Average,0.4,fit,1.0,1.0,0.745,0.1256,0.4838,-0.2279,0.06727
42,2,Average,0.4,gradient_shap,1.0,1.0,0.66,0.2103,0.6285,-0.3726,-0.006895
42,2,Average,0.4,integrated_gradients,1.0,1.0,0.675,0.2078,0.6162,-0.3603,-0.007336
42,2,Average,0.4,lime,1.0,1.0,0.705,0.166,0.5408,-0.2849,0.02458
42,2,Average,0.4,augmented_occlusion,1.0,1.0,0.65,0.2063,0.614,-0.3581,-0.004924
42,2,Average,0.4,occlusion,1.0,1.0,0.665,0.2139,0.6212,-0.3652,-0.006866
42,2,Average,0.4,retain,1.0,1.0,0.78,0.1403,0.4896,-0.2336,0.0631
42,2,Average,0.5,deep_lift,1.0,1.0,0.65,0.2146,0.6352,-0.3793,-0.01043
42,2,Average,0.5,dyna_mask,1.0,1.0,0.395,0.3609,1.211,-0.9553,-0.05475
42,2,Average,0.5,extremal_mask,1.0,1.0,0.485,0.289,0.8349,-0.579,-0.09755
42,2,Average,0.5,fit,1.0,1.0,0.73,0.1428,0.5105,-0.2545,0.05222
42,2,Average,0.5,gradient_shap,1.0,1.0,0.64,0.2118,0.6391,-0.3832,-0.007226
42,2,Average,0.5,integrated_gradients,1.0,1.0,0.64,0.2113,0.6278,-0.3718,-0.006948
42,2,Average,0.5,lime,1.0,1.0,0.735,0.1834,0.5898,-0.3339,0.02158
42,2,Average,0.5,augmented_occlusion,1.0,1.0,0.65,0.2066,0.6201,-0.3642,-0.009583
42,2,Average,0.5,occlusion,1.0,1.0,0.655,0.2205,0.6403,-0.3843,-0.01095
42,2,Average,0.5,retain,1.0,1.0,0.75,0.1561,0.5183,-0.2623,0.04894
42,2,Average,0.6,deep_lift,1.0,1.0,0.67,0.2156,0.6372,-0.3813,-0.007024
42,2,Average,0.6,dyna_mask,1.0,1.0,0.39,0.3628,1.216,-0.9597,-0.05649
42,2,Average,0.6,extremal_mask,1.0,1.0,0.54,0.2638,0.7768,-0.5209,-0.09229
42,2,Average,0.6,fit,1.0,1.0,0.715,0.1565,0.5407,-0.2847,0.03521
42,2,Average,0.6,gradient_shap,1.0,1.0,0.665,0.2126,0.6458,-0.3899,-0.005876
42,2,Average,0.6,integrated_gradients,1.0,1.0,0.66,0.2125,0.6313,-0.3754,-0.002689
42,2,Average,0.6,lime,1.0,1.0,0.695,0.1979,0.6339,-0.378,0.02326
42,2,Average,0.6,augmented_occlusion,1.0,1.0,0.69,0.2065,0.6276,-0.3717,-0.007109
42,2,Average,0.6,occlusion,1.0,1.0,0.655,0.2203,0.64,-0.3841,-0.007535
42,2,Average,0.6,retain,1.0,1.0,0.74,0.1706,0.548,-0.2921,0.03044
42,2,Zeros,0.1,deep_lift,1.0,1.0,0.7,0.1615,0.5189,-0.2629,0.1011
42,2,Zeros,0.1,dyna_mask,1.0,1.0,0.45,0.3168,0.9037,-0.6477,-0.006913
42,2,Zeros,0.1,extremal_mask,1.0,1.0,0.18,0.4546,1.248,-0.9919,-0.1402
42,2,Zeros,0.1,fit,1.0,1.0,0.92,0.03448,0.3149,-0.05899,0.2529
42,2,Zeros,0.1,gradient_shap,1.0,1.0,0.72,0.1692,0.5272,-0.2712,0.0861
42,2,Zeros,0.1,integrated_gradients,1.0,1.0,0.705,0.1656,0.5257,-0.2698,0.0935
42,2,Zeros,0.1,lime,1.0,1.0,0.77,0.1247,0.4568,-0.2009,0.1331
42,2,Zeros,0.1,augmented_occlusion,1.0,1.0,0.735,0.1603,0.5159,-0.2599,0.1088
42,2,Zeros,0.1,occlusion,1.0,1.0,0.7,0.1694,0.5275,-0.2716,0.09296
42,2,Zeros,0.1,retain,1.0,1.0,0.865,0.06623,0.3655,-0.1095,0.2215
42,2,Zeros,0.2,deep_lift,1.0,1.0,0.66,0.2216,0.6169,-0.361,0.04312
42,2,Zeros,0.2,dyna_mask,1.0,1.0,0.36,0.3934,1.162,-0.9065,-0.03893
42,2,Zeros,0.2,extremal_mask,1.0,1.0,0.17,0.4598,1.255,-0.999,-0.1407
42,2,Zeros,0.2,fit,1.0,1.0,0.86,0.08542,0.3967,-0.1407,0.1842
42,2,Zeros,0.2,gradient_shap,1.0,1.0,0.64,0.2223,0.6137,-0.3577,0.03521
42,2,Zeros,0.2,integrated_gradients,1.0,1.0,0.675,0.22,0.615,-0.3591,0.04396
42,2,Zeros,0.2,lime,1.0,1.0,0.68,0.1792,0.5476,-0.2916,0.07601
42,2,Zeros,0.2,augmented_occlusion,1.0,1.0,0.69,0.2122,0.5946,-0.3387,0.05633
42,2,Zeros,0.2,occlusion,1.0,1.0,0.675,0.2198,0.6072,-0.3512,0.04248
42,2,Zeros,0.2,retain,1.0,1.0,0.765,0.1149,0.4468,-0.1908,0.1768
42,2,Zeros,0.3,deep_lift,1.0,1.0,0.59,0.2395,0.6464,-0.3904,0.01729
42,2,Zeros,0.3,dyna_mask,1.0,1.0,0.345,0.4109,1.249,-0.9931,-0.05018
42,2,Zeros,0.3,extremal_mask,1.0,1.0,0.18,0.4465,1.197,-0.9408,-0.1345
42,2,Zeros,0.3,fit,1.0,1.0,0.765,0.1373,0.4767,-0.2207,0.1206
42,2,Zeros,0.3,gradient_shap,1.0,1.0,0.65,0.2377,0.6364,-0.3805,0.02527
42,2,Zeros,0.3,integrated_gradients,1.0,1.0,0.62,0.2398,0.6442,-0.3883,0.01781
42,2,Zeros,0.3,lime,1.0,1.0,0.685,0.1952,0.5657,-0.3097,0.05796
42,2,Zeros,0.3,augmented_occlusion,1.0,1.0,0.655,0.2358,0.6361,-0.3801,0.02676
42,2,Zeros,0.3,occlusion,1.0,1.0,0.61,0.2438,0.6475,-0.3915,0.01812
42,2,Zeros,0.3,retain,1.0,1.0,0.77,0.1467,0.4897,-0.2337,0.1416
42,2,Zeros,0.4,deep_lift,1.0,1.0,0.59,0.2536,0.6605,-0.4046,0.004002
42,2,Zeros,0.4,dyna_mask,1.0,1.0,0.355,0.4106,1.246,-0.9897,-0.05077
42,2,Zeros,0.4,extremal_mask,1.0,1.0,0.195,0.4218,1.11,-0.8542,-0.122
42,2,Zeros,0.4,fit,1.0,1.0,0.7,0.1709,0.535,-0.279,0.08977
42,2,Zeros,0.4,gradient_shap,1.0,1.0,0.57,0.2572,0.6701,-0.4141,0.0114
42,2,Zeros,0.4,integrated_gradients,1.0,1.0,0.605,0.2548,0.6632,-0.4072,0.004201
42,2,Zeros,0.4,lime,1.0,1.0,0.685,0.2089,0.5839,-0.328,0.05515
42,2,Zeros,0.4,augmented_occlusion,1.0,1.0,0.585,0.2562,0.6701,-0.4142,0.01004
42,2,Zeros,0.4,occlusion,1.0,1.0,0.575,0.2594,0.6714,-0.4154,0.004474
42,2,Zeros,0.4,retain,1.0,1.0,0.715,0.1768,0.531,-0.275,0.0941
42,2,Zeros,0.5,deep_lift,1.0,1.0,0.595,0.2635,0.6722,-0.4162,0.002006
42,2,Zeros,0.5,dyna_mask,1.0,1.0,0.355,0.4101,1.246,-0.9897,-0.05112
42,2,Zeros,0.5,extremal_mask,1.0,1.0,0.3,0.3838,0.9817,-0.7258,-0.1154
42,2,Zeros,0.5,fit,1.0,1.0,0.665,0.1988,0.5778,-0.3219,0.06434
42,2,Zeros,0.5,gradient_shap,1.0,1.0,0.6,0.2653,0.6781,-0.4221,0.006081
42,2,Zeros,0.5,integrated_gradients,1.0,1.0,0.575,0.2631,0.6713,-0.4154,0.003792
42,2,Zeros,0.5,lime,1.0,1.0,0.635,0.2495,0.6373,-0.3814,0.04941
42,2,Zeros,0.5,augmented_occlusion,1.0,1.0,0.585,0.2577,0.6671,-0.4112,0.0002913
42,2,Zeros,0.5,occlusion,1.0,1.0,0.55,0.274,0.6933,-0.4373,-0.003179
42,2,Zeros,0.5,retain,1.0,1.0,0.69,0.2033,0.5693,-0.3133,0.06875
42,2,Zeros,0.6,deep_lift,1.0,1.0,0.555,0.2739,0.6829,-0.427,-0.002221
42,2,Zeros,0.6,dyna_mask,1.0,1.0,0.355,0.4105,1.245,-0.9889,-0.0524
42,2,Zeros,0.6,extremal_mask,1.0,1.0,0.375,0.3571,0.906,-0.65,-0.1096
42,2,Zeros,0.6,fit,1.0,1.0,0.665,0.2206,0.6132,-0.3573,0.04811
42,2,Zeros,0.6,gradient_shap,1.0,1.0,0.59,0.27,0.6775,-0.4215,0.002808
42,2,Zeros,0.6,integrated_gradients,1.0,1.0,0.575,0.2708,0.6788,-0.4228,0.003766
42,2,Zeros,0.6,lime,1.0,1.0,0.525,0.2837,0.6871,-0.4312,0.04651
42,2,Zeros,0.6,augmented_occlusion,1.0,1.0,0.565,0.2639,0.6758,-0.4198,-0.003502
42,2,Zeros,0.6,occlusion,1.0,1.0,0.53,0.2778,0.6905,-0.4345,-0.001234
42,2,Zeros,0.6,retain,1.0,1.0,0.645,0.2277,0.6066,-0.3507,0.04379
42,4,Average,0.1,deep_lift,1.0,1.0,0.855,0.08005,0.3888,-0.1302,0.06872
42,4,Average,0.1,dyna_mask,1.0,1.0,0.635,0.1912,0.6114,-0.3529,-0.008203
42,4,Average,0.1,extremal_mask,1.0,1.0,0.5,0.2854,0.8247,-0.5662,-0.1046
42,4,Average,0.1,fit,1.0,1.0,0.935,0.0226,0.2996,-0.04099,0.1439
42,4,Average,0.1,gradient_shap,1.0,1.0,0.85,0.09668,0.4143,-0.1557,0.05174
42,4,Average,0.1,integrated_gradients,1.0,1.0,0.865,0.08532,0.3976,-0.139,0.06255
42,4,Average,0.1,lime,1.0,1.0,0.86,0.08139,0.3854,-0.1268,0.06288
42,4,Average,0.1,augmented_occlusion,1.0,1.0,0.8,0.1028,0.4229,-0.1644,0.04917
42,4,Average,0.1,occlusion,1.0,1.0,0.84,0.1082,0.4333,-0.1748,0.0467
42,4,Average,0.1,retain,1.0,1.0,0.88,0.04968,0.3348,-0.07619,0.1098
42,4,Average,0.2,deep_lift,1.0,1.0,0.78,0.1272,0.4685,-0.2099,0.03497
42,4,Average,0.2,dyna_mask,1.0,1.0,0.52,0.2665,0.8153,-0.5567,-0.04578
42,4,Average,0.2,extremal_mask,1.0,1.0,0.495,0.2911,0.8392,-0.5806,-0.1074
42,4,Average,0.2,fit,1.0,1.0,0.915,0.03855,0.322,-0.06344,0.1222
42,4,Average,0.2,gradient_shap,1.0,1.0,0.775,0.1359,0.487,-0.2284,0.02948
42,4,Average,0.2,integrated_gradients,1.0,1.0,0.775,0.1307,0.4778,-0.2192,0.03472
42,4,Average,0.2,lime,1.0,1.0,0.805,0.1089,0.4398,-0.1812,0.04218
42,4,Average,0.2,augmented_occlusion,1.0,1.0,0.78,0.1269,0.4751,-0.2165,0.03269
42,4,Average,0.2,occlusion,1.0,1.0,0.785,0.1414,0.4919,-0.2334,0.02629
42,4,Average,0.2,retain,1.0,1.0,0.845,0.0803,0.3822,-0.1236,0.07384
42,4,Average,0.3,deep_lift,1.0,1.0,0.77,0.1514,0.5123,-0.2537,0.02167
42,4,Average,0.3,dyna_mask,1.0,1.0,0.5,0.2872,0.9153,-0.6568,-0.05289
42,4,Average,0.3,extremal_mask,1.0,1.0,0.51,0.2894,0.8431,-0.5845,-0.1065
42,4,Average,0.3,fit,1.0,1.0,0.88,0.06433,0.3586,-0.1,0.08978
42,4,Average,0.3,gradient_shap,1.0,1.0,0.745,0.144,0.4997,-0.2411,0.0252
42,4,Average,0.3,integrated_gradients,1.0,1.0,0.78,0.1455,0.5017,-0.2432,0.02608
42,4,Average,0.3,lime,1.0,1.0,0.79,0.1239,0.4663,-0.2077,0.03377
42,4,Average,0.3,augmented_occlusion,1.0,1.0,0.775,0.1329,0.4902,-0.2317,0.03383
42,4,Average,0.3,occlusion,1.0,1.0,0.745,0.1532,0.5129,-0.2543,0.0243
42,4,Average,0.3,retain,1.0,1.0,0.835,0.09636,0.4075,-0.1489,0.05979
42,4,Average,0.4,deep_lift,1.0,1.0,0.76,0.1508,0.512,-0.2535,0.0199
42,4,Average,0.4,dyna_mask,1.0,1.0,0.49,0.2946,0.9659,-0.7073,-0.05597
42,4,Average,0.4,extremal_mask,1.0,1.0,0.53,0.273,0.8049,-0.5463,-0.1007
42,4,Average,0.4,fit,1.0,1.0,0.85,0.0887,0.4024,-0.1438,0.06272
42,4,Average,0.4,gradient_shap,1.0,1.0,0.74,0.1548,0.5209,-0.2623,0.01843
42,4,Average,0.4,integrated_gradients,1.0,1.0,0.77,0.1513,0.5136,-0.255,0.01911
42,4,Average,0.4,lime,1.0,1.0,0.75,0.1348,0.4896,-0.231,0.03157
42,4,Average,0.4,augmented_occlusion,1.0,1.0,0.755,0.1382,0.5008,-0.2422,0.03156
42,4,Average,0.4,occlusion,1.0,1.0,0.74,0.155,0.5196,-0.261,0.01443
42,4,Average,0.4,retain,1.0,1.0,0.81,0.1181,0.445,-0.1864,0.04581
42,4,Average,0.5,deep_lift,1.0,1.0,0.75,0.1539,0.5191,-0.2605,0.01529
42,4,Average,0.5,dyna_mask,1.0,1.0,0.485,0.2989,0.9871,-0.7285,-0.0594
42,4,Average,0.5,extremal_mask,1.0,1.0,0.56,0.2467,0.7427,-0.4841,-0.08683
42,4,Average,0.5,fit,1.0,1.0,0.815,0.1087,0.4384,-0.1798,0.04602
42,4,Average,0.5,gradient_shap,1.0,1.0,0.75,0.1573,0.5299,-0.2713,0.01316
42,4,Average,0.5,integrated_gradients,1.0,1.0,0.75,0.1521,0.5159,-0.2573,0.016
42,4,Average,0.5,lime,1.0,1.0,0.735,0.154,0.5363,-0.2778,0.02952
42,4,Average,0.5,augmented_occlusion,1.0,1.0,0.765,0.1416,0.5066,-0.248,0.0264
42,4,Average,0.5,occlusion,1.0,1.0,0.76,0.1595,0.5271,-0.2686,0.009327
42,4,Average,0.5,retain,1.0,1.0,0.79,0.1384,0.4793,-0.2207,0.02574
42,4,Average,0.6,deep_lift,1.0,1.0,0.74,0.1609,0.5317,-0.2732,0.007083
42,4,Average,0.6,dyna_mask,1.0,1.0,0.49,0.2969,0.9707,-0.7122,-0.06199
42,4,Average,0.6,extremal_mask,1.0,1.0,0.62,0.2153,0.6689,-0.4103,-0.08114
42,4,Average,0.6,fit,1.0,1.0,0.77,0.1263,0.4709,-0.2123,0.03148
42,4,Average,0.6,gradient_shap,1.0,1.0,0.76,0.1568,0.5312,-0.2726,0.00912
42,4,Average,0.6,integrated_gradients,1.0,1.0,0.745,0.1609,0.5356,-0.277,0.006801
42,4,Average,0.6,lime,1.0,1.0,0.705,0.1703,0.5751,-0.3165,0.02582
42,4,Average,0.6,augmented_occlusion,1.0,1.0,0.745,0.1487,0.5183,-0.2598,0.01803
42,4,Average,0.6,occlusion,1.0,1.0,0.73,0.1669,0.5445,-0.2859,-0.0002384
42,4,Average,0.6,retain,1.0,1.0,0.74,0.1529,0.5047,-0.2462,0.01773
42,4,Zeros,0.1,deep_lift,1.0,1.0,0.835,0.1022,0.4208,-0.1622,0.1466
42,4,Zeros,0.1,dyna_mask,1.0,1.0,0.6,0.2424,0.7138,-0.4552,0.01917
42,4,Zeros,0.1,extremal_mask,1.0,1.0,0.315,0.3771,1.015,-0.7561,-0.1179
42,4,Zeros,0.1,fit,1.0,1.0,0.93,0.03688,0.3174,-0.05884,0.2346
42,4,Zeros,0.1,gradient_shap,1.0,1.0,0.82,0.1281,0.4601,-0.2015,0.1208
42,4,Zeros,0.1,integrated_gradients,1.0,1.0,0.84,0.1109,0.4346,-0.176,0.1385
42,4,Zeros,0.1,lime,1.0,1.0,0.86,0.09781,0.4074,-0.1488,0.1429
42,4,Zeros,0.1,augmented_occlusion,1.0,1.0,0.795,0.1354,0.4681,-0.2095,0.1154
42,4,Zeros,0.1,occlusion,1.0,1.0,0.805,0.1414,0.4818,-0.2232,0.1131
42,4,Zeros,0.1,retain,1.0,1.0,0.865,0.06345,0.3589,-0.1003,0.2027
42,4,Zeros,0.2,deep_lift,1.0,1.0,0.785,0.1677,0.5197,-0.2612,0.1041
42,4,Zeros,0.2,dyna_mask,1.0,1.0,0.465,0.3146,0.9194,-0.6609,-0.02219
42,4,Zeros,0.2,extremal_mask,1.0,1.0,0.295,0.3891,1.042,-0.7836,-0.1207
42,4,Zeros,0.2,fit,1.0,1.0,0.915,0.06819,0.3603,-0.1018,0.1879
42,4,Zeros,0.2,gradient_shap,1.0,1.0,0.74,0.1828,0.546,-0.2874,0.09132
42,4,Zeros,0.2,integrated_gradients,1.0,1.0,0.78,0.1724,0.5285,-0.2699,0.1022
42,4,Zeros,0.2,lime,1.0,1.0,0.805,0.1341,0.4697,-0.2112,0.1147
42,4,Zeros,0.2,augmented_occlusion,1.0,1.0,0.735,0.1835,0.5477,-0.2892,0.07946
42,4,Zeros,0.2,occlusion,1.0,1.0,0.745,0.1866,0.5502,-0.2917,0.08215
42,4,Zeros,0.2,retain,1.0,1.0,0.825,0.108,0.4248,-0.1663,0.141
42,4,Zeros,0.3,deep_lift,1.0,1.0,0.74,0.2009,0.5721,-0.3135,0.07999
42,4,Zeros,0.3,dyna_mask,1.0,1.0,0.445,0.3293,0.976,-0.7175,-0.0309
42,4,Zeros,0.3,extremal_mask,1.0,1.0,0.295,0.3893,1.044,-0.7849,-0.1186
42,4,Zeros,0.3,fit,1.0,1.0,0.845,0.1166,0.4343,-0.1757,0.1316
42,4,Zeros,0.3,gradient_shap,1.0,1.0,0.71,0.2021,0.5699,-0.3113,0.07247
42,4,Zeros,0.3,integrated_gradients,1.0,1.0,0.725,0.1985,0.5687,-0.3101,0.08316
42,4,Zeros,0.3,lime,1.0,1.0,0.77,0.1609,0.5117,-0.2532,0.09865
42,4,Zeros,0.3,augmented_occlusion,1.0,1.0,0.725,0.1998,0.5716,-0.3131,0.07739
42,4,Zeros,0.3,occlusion,1.0,1.0,0.695,0.2106,0.5887,-0.3301,0.07244
42,4,Zeros,0.3,retain,1.0,1.0,0.8,0.1414,0.4743,-0.2158,0.1093
42,4,Zeros,0.4,deep_lift,1.0,1.0,0.75,0.2083,0.5746,-0.316,0.06479
42,4,Zeros,0.4,dyna_mask,1.0,1.0,0.45,0.3353,0.9909,-0.7323,-0.03498
42,4,Zeros,0.4,extremal_mask,1.0,1.0,0.31,0.3795,1.005,-0.7468,-0.1126
42,4,Zeros,0.4,fit,1.0,1.0,0.775,0.1583,0.5033,-0.2448,0.09153
42,4,Zeros,0.4,gradient_shap,1.0,1.0,0.705,0.2181,0.5966,-0.338,0.06095
42,4,Zeros,0.4,integrated_gradients,1.0,1.0,0.72,0.213,0.5837,-0.3251,0.06366
42,4,Zeros,0.4,lime,1.0,1.0,0.755,0.1825,0.5403,-0.2817,0.09149
42,4,Zeros,0.4,augmented_occlusion,1.0,1.0,0.685,0.2104,0.5898,-0.3312,0.06925
42,4,Zeros,0.4,occlusion,1.0,1.0,0.69,0.2225,0.6067,-0.3481,0.05706
42,4,Zeros,0.4,retain,1.0,1.0,0.745,0.1715,0.5228,-0.2642,0.08978
42,4,Zeros,0.5,deep_lift,1.0,1.0,0.72,0.2176,0.5856,-0.327,0.05349
42,4,Zeros,0.5,dyna_mask,1.0,1.0,0.44,0.3344,0.9861,-0.7275,-0.04031
42,4,Zeros,0.5,extremal_mask,1.0,1.0,0.38,0.361,0.9266,-0.668,-0.09538
42,4,Zeros,0.5,fit,1.0,1.0,0.73,0.183,0.5424,-0.2838,0.06795
42,4,Zeros,0.5,gradient_shap,1.0,1.0,0.665,0.2332,0.6229,-0.3643,0.05112
42,4,Zeros,0.5,integrated_gradients,1.0,1.0,0.735,0.2163,0.5844,-0.3258,0.05561
42,4,Zeros,0.5,lime,1.0,1.0,0.645,0.241,0.623,-0.3644,0.08491
42,4,Zeros,0.5,augmented_occlusion,1.0,1.0,0.695,0.222,0.6066,-0.3481,0.05802
42,4,Zeros,0.5,occlusion,1.0,1.0,0.66,0.2358,0.6234,-0.3648,0.04505
42,4,Zeros,0.5,retain,1.0,1.0,0.745,0.198,0.5587,-0.3001,0.06462
42,4,Zeros,0.6,deep_lift,1.0,1.0,0.695,0.2389,0.621,-0.3624,0.03545
42,4,Zeros,0.6,dyna_mask,1.0,1.0,0.445,0.3287,0.9459,-0.6873,-0.04487
42,4,Zeros,0.6,extremal_mask,1.0,1.0,0.4,0.328,0.8138,-0.5552,-0.08734
42,4,Zeros,0.6,fit,1.0,1.0,0.705,0.2098,0.5839,-0.3253,0.05007
42,4,Zeros,0.6,gradient_shap,1.0,1.0,0.645,0.2417,0.6337,-0.3751,0.04015
42,4,Zeros,0.6,integrated_gradients,1.0,1.0,0.7,0.2355,0.6141,-0.3556,0.03774
42,4,Zeros,0.6,lime,1.0,1.0,0.595,0.2787,0.6777,-0.4191,0.07077
42,4,Zeros,0.6,augmented_occlusion,1.0,1.0,0.67,0.2344,0.6267,-0.3681,0.04468
42,4,Zeros,0.6,occlusion,1.0,1.0,0.65,0.2509,0.644,-0.3854,0.025
42,4,Zeros,0.6,retain,1.0,1.0,0.7,0.2246,0.6005,-0.3419,0.05106
42,1,Average,0.1,deep_lift,1.0,1.0,0.795,0.1265,0.4701,-0.2025,0.05602
42,1,Average,0.1,dyna_mask,1.0,1.0,0.61,0.2078,0.6827,-0.415,0.004504
42,1,Average,0.1,extremal_mask,1.0,1.0,0.38,0.3409,1.01,-0.742,-0.1213
42,1,Average,0.1,fit,1.0,1.0,0.925,0.02629,0.3179,-0.05024,0.1569
42,1,Average,0.1,gradient_shap,1.0,1.0,0.78,0.13,0.4792,-0.2116,0.05214
42,1,Average,0.1,integrated_gradients,1.0,1.0,0.775,0.1335,0.4857,-0.2181,0.0526
42,1,Average,0.1,lime,1.0,1.0,0.85,0.0859,0.4013,-0.1337,0.0924
42,1,Average,0.1,augmented_occlusion,1.0,1.0,0.79,0.1086,0.45,-0.1823,0.07458
42,1,Average,0.1,occlusion,1.0,1.0,0.77,0.1419,0.4985,-0.2308,0.04856
42,1,Average,0.1,retain,1.0,1.0,0.905,0.02351,0.3102,-0.04256,0.1685
42,1,Average,0.2,deep_lift,1.0,1.0,0.755,0.1674,0.5424,-0.2747,0.02304
42,1,Average,0.2,dyna_mask,1.0,1.0,0.48,0.2812,0.9201,-0.6524,-0.01671
42,1,Average,0.2,extremal_mask,1.0,1.0,0.4,0.3435,1.02,-0.7522,-0.1248
42,1,Average,0.2,fit,1.0,1.0,0.89,0.04062,0.3382,-0.0705,0.1386
42,1,Average,0.2,gradient_shap,1.0,1.0,0.725,0.1764,0.5648,-0.2971,0.01839
42,1,Average,0.2,integrated_gradients,1.0,1.0,0.745,0.1709,0.5473,-0.2796,0.02196
42,1,Average,0.2,lime,1.0,1.0,0.795,0.116,0.4558,-0.1881,0.06622
42,1,Average,0.2,augmented_occlusion,1.0,1.0,0.75,0.1464,0.5128,-0.2451,0.04551
42,1,Average,0.2,occlusion,1.0,1.0,0.745,0.1729,0.5539,-0.2863,0.02228
42,1,Average,0.2,retain,1.0,1.0,0.865,0.0432,0.3437,-0.07606,0.146
42,1,Average,0.3,deep_lift,1.0,1.0,0.69,0.1859,0.5845,-0.3168,0.006864
42,1,Average,0.3,dyna_mask,1.0,1.0,0.41,0.3345,1.107,-0.8391,-0.04091
42,1,Average,0.3,extremal_mask,1.0,1.0,0.38,0.3449,1.034,-0.7661,-0.1259
42,1,Average,0.3,fit,1.0,1.0,0.82,0.08446,0.4274,-0.1597,0.09182
42,1,Average,0.3,gradient_shap,1.0,1.0,0.705,0.1906,0.595,-0.3273,0.005125
42,1,Average,0.3,integrated_gradients,1.0,1.0,0.69,0.1855,0.583,-0.3153,0.007781
42,1,Average,0.3,lime,1.0,1.0,0.765,0.1363,0.4917,-0.224,0.05291
42,1,Average,0.3,augmented_occlusion,1.0,1.0,0.71,0.1719,0.562,-0.2944,0.02889
42,1,Average,0.3,occlusion,1.0,1.0,0.69,0.1912,0.598,-0.3303,0.007143
42,1,Average,0.3,retain,1.0,1.0,0.855,0.06865,0.3879,-0.1203,0.1147
42,1,Average,0.4,deep_lift,1.0,1.0,0.715,0.1931,0.6051,-0.3374,0.0006763
42,1,Average,0.4,dyna_mask,1.0,1.0,0.39,0.3576,1.227,-0.9589,-0.05071
42,1,Average,0.4,extremal_mask,1.0,1.0,0.445,0.3341,0.997,-0.7293,-0.1205
42,1,Average,0.4,fit,1.0,1.0,0.78,0.1187,0.4956,-0.2279,0.05782
42,1,Average,0.4,gradient_shap,1.0,1.0,0.67,0.1921,0.6021,-0.3344,-0.001729
42,1,Average,0.4,integrated_gradients,1.0,1.0,0.69,0.1947,0.6063,-0.3386,-0.001996
42,1,Average,0.4,lime,1.0,1.0,0.78,0.1351,0.4965,-0.2288,0.04872
42,1,Average,0.4,augmented_occlusion,1.0,1.0,0.69,0.1837,0.5948,-0.3272,0.01445
42,1,Average,0.4,occlusion,1.0,1.0,0.695,0.197,0.6162,-0.3485,0.0001565
42,1,Average,0.4,retain,1.0,1.0,0.845,0.09008,0.422,-0.1543,0.08846
42,1,Average,0.5,deep_lift,1.0,1.0,0.71,0.1901,0.5994,-0.3317,-0.002523
42,1,Average,0.5,dyna_mask,1.0,1.0,0.38,0.3728,1.323,-1.055,-0.05433
42,1,Average,0.5,extremal_mask,1.0,1.0,0.475,0.3127,0.949,-0.6813,-0.109
42,1,Average,0.5,fit,1.0,1.0,0.75,0.1343,0.5181,-0.2504,0.04383
42,1,Average,0.5,gradient_shap,1.0,1.0,0.715,0.1911,0.6117,-0.344,-0.004658
42,1,Average,0.5,integrated_gradients,1.0,1.0,0.725,0.1892,0.5974,-0.3298,-0.0007688
42,1,Average,0.5,lime,1.0,1.0,0.745,0.1673,0.5683,-0.3006,0.04435
42,1,Average,0.5,augmented_occlusion,1.0,1.0,0.67,0.1848,0.6045,-0.3368,0.01507
42,1,Average,0.5,occlusion,1.0,1.0,0.685,0.1973,0.621,-0.3533,-0.002022
42,1,Average,0.5,retain,1.0,1.0,0.81,0.1139,0.464,-0.1963,0.0674
42,1,Average,0.6,deep_lift,1.0,1.0,0.69,0.1913,0.6057,-0.3381,-0.002704
42,1,Average,0.6,dyna_mask,1.0,1.0,0.38,0.3598,1.235,-0.9669,-0.05164
42,1,Average,0.6,extremal_mask,1.0,1.0,0.545,0.2586,0.785,-0.5173,-0.09894
42,1,Average,0.6,fit,1.0,1.0,0.735,0.14,0.526,-0.2583,0.03726
42,1,Average,0.6,gradient_shap,1.0,1.0,0.695,0.1899,0.6155,-0.3479,-0.002457
42,1,Average,0.6,integrated_gradients,1.0,1.0,0.68,0.1892,0.6004,-0.3327,-0.002274
42,1,Average,0.6,lime,1.0,1.0,0.705,0.1846,0.6056,-0.3379,0.0415
42,1,Average,0.6,augmented_occlusion,1.0,1.0,0.675,0.1863,0.6118,-0.3442,0.01097
42,1,Average,0.6,occlusion,1.0,1.0,0.675,0.1976,0.6249,-0.3572,-0.001875
42,1,Average,0.6,retain,1.0,1.0,0.765,0.1351,0.4983,-0.2307,0.05152
42,1,Zeros,0.1,deep_lift,1.0,1.0,0.765,0.1437,0.4989,-0.2312,0.1287
42,1,Zeros,0.1,dyna_mask,1.0,1.0,0.515,0.2526,0.7502,-0.4825,0.03016
42,1,Zeros,0.1,extremal_mask,1.0,1.0,0.23,0.419,1.182,-0.9146,-0.1353
